"dataset","modality","node","eccentricity.cv","Group"
"1","1",110,0.10515663824165,"CALM Structural"
"2","1",110,0.108374037455539,"NKI Structural"
"1","2",110,0.317992110571878,"CALM Functional"
"2","2",110,0.268320845442455,"NKI Functional"
"1","1",111,0.0887846340528693,"CALM Structural"
"2","1",111,0.111957210989252,"NKI Structural"
"1","2",111,0.308419881621257,"CALM Functional"
"2","2",111,0.329775935549136,"NKI Functional"
"1","1",112,0.0616914595308335,"CALM Structural"
"2","1",112,0.0821092544112529,"NKI Structural"
"1","2",112,0.304664551524111,"CALM Functional"
"2","2",112,0.277690950634761,"NKI Functional"
"1","1",113,0.0807683318059776,"CALM Structural"
"2","1",113,0.0997960234281152,"NKI Structural"
"1","2",113,0.294127279393218,"CALM Functional"
"2","2",113,0.24197929987547,"NKI Functional"
"1","1",114,0.102286326680793,"CALM Structural"
"2","1",114,0.120048820870881,"NKI Structural"
"1","2",114,0.327594060786368,"CALM Functional"
"2","2",114,0.257491930493731,"NKI Functional"
"1","1",115,0.113390732745273,"CALM Structural"
"2","1",115,0.126236631700695,"NKI Structural"
"1","2",115,0.282358569605508,"CALM Functional"
"2","2",115,0.315109611669785,"NKI Functional"
"1","1",116,0.129002952592866,"CALM Structural"
"2","1",116,0.169998109038115,"NKI Structural"
"1","2",116,0.258237493715134,"CALM Functional"
"2","2",116,0.30564065296122,"NKI Functional"
"1","1",117,0.105477684727451,"CALM Structural"
"2","1",117,0.136631074038784,"NKI Structural"
"1","2",117,0.315129499755801,"CALM Functional"
"2","2",117,0.347690521187769,"NKI Functional"
"1","1",118,0.136941981949037,"CALM Structural"
"2","1",118,0.170665716661622,"NKI Structural"
"1","2",118,0.225090749981043,"CALM Functional"
"2","2",118,0.248241964758771,"NKI Functional"
"1","1",119,0.105265699305177,"CALM Structural"
"2","1",119,0.142115723184071,"NKI Structural"
"1","2",119,0.224159907867695,"CALM Functional"
"2","2",119,0.226938831076289,"NKI Functional"
"1","1",120,0.13466037627371,"CALM Structural"
"2","1",120,0.137910269001451,"NKI Structural"
"1","2",120,0.251568638968064,"CALM Functional"
"2","2",120,0.271413542122865,"NKI Functional"
"1","1",121,0.147398928182907,"CALM Structural"
"2","1",121,0.16108154745333,"NKI Structural"
"1","2",121,0.241597715399404,"CALM Functional"
"2","2",121,0.256664562996291,"NKI Functional"
"1","1",122,0.0805183120142895,"CALM Structural"
"2","1",122,0.0962910267256603,"NKI Structural"
"1","2",122,0.341512587682852,"CALM Functional"
"2","2",122,0.34513536039421,"NKI Functional"
"1","1",123,0.205649370907853,"CALM Structural"
"2","1",123,0.246745718337895,"NKI Structural"
"1","2",123,0.269837723955216,"CALM Functional"
"2","2",123,0.329173611584518,"NKI Functional"
"1","1",124,0.0998133633706233,"CALM Structural"
"2","1",124,0.106578125816507,"NKI Structural"
"1","2",124,0.240771911593019,"CALM Functional"
"2","2",124,0.274799024784342,"NKI Functional"
"1","1",125,0.0937003074596705,"CALM Structural"
"2","1",125,0.120719852992129,"NKI Structural"
"1","2",125,0.286572242304418,"CALM Functional"
"2","2",125,0.284816792525682,"NKI Functional"
"1","1",126,0.197375464551813,"CALM Structural"
"2","1",126,0.249926514718665,"NKI Structural"
"1","2",126,0.218902171874171,"CALM Functional"
"2","2",126,0.235746628736389,"NKI Functional"
"1","1",127,0.112921854700415,"CALM Structural"
"2","1",127,0.123456387460289,"NKI Structural"
"1","2",127,0.268126151969468,"CALM Functional"
"2","2",127,0.276323031936447,"NKI Functional"
"1","1",128,0.211408434195928,"CALM Structural"
"2","1",128,0.251315775489352,"NKI Structural"
"1","2",128,0.237107378181018,"CALM Functional"
"2","2",128,0.266777026109847,"NKI Functional"
"1","1",129,0.117644194187714,"CALM Structural"
"2","1",129,0.118282807023275,"NKI Structural"
"1","2",129,0.25333462383057,"CALM Functional"
"2","2",129,0.262213005350524,"NKI Functional"
"1","1",130,0.129377294312405,"CALM Structural"
"2","1",130,0.135716598131329,"NKI Structural"
"1","2",130,0.256409397731337,"CALM Functional"
"2","2",130,0.259405920194462,"NKI Functional"
"1","1",131,0.113983025184958,"CALM Structural"
"2","1",131,0.125483835430482,"NKI Structural"
"1","2",131,0.25847846718647,"CALM Functional"
"2","2",131,0.318938543717821,"NKI Functional"
